song_title,album,year,singer,lyricist,composer,imdb_id
shaalaa jawaaniyaa.N maaNe.N,Gul-E-Bakawali (Punjabi-Film),1939,Noorjehan,Wali Sahab,Ghulam Haider,
bhaaii ham paradesii log hame.n kaun jaane,Ek Hi Raastaa,1939,Anil Biswas,Pt Indra,Anil Biswas,
pi.njare de vich qaid jawaanii,Gul-E-Bakawali (Punjabi-Film),1939,Noorjehan,Wali Sahab,Ghulam Haider,
karuu.N kyaa aas niraas bhaii,Dushman,1939,Saigal,Arzoo Lucknowi,Pankaj Mullick,
"bhaa_ii re kabiir sun le kabiir, ramaiyaa kii joruu na luuTaa",Kangan,1939,"Pradeep, Chorus",Sant Kabir,Saraswati Devi,tt0031527
priit me.n hai jiivan jokho.n,Dushman,1939,Saigal,Arzoo Lucknowi,Pankaj Mullick,
ban chale raam raghuraa_ii,Sant Tulsidas,1939,"Vishnupant Pagnis, Chorus",Pt Indra,Gyan Dutt,tt0275650
pyaarii\-pyaarii suurato moh bharii muurato,Dushman/ The Enemy,1939,Saigal,Arzoo Lucknavi,Pankaj Mullick,
mai.n to aaratii utaaruu.N raadheshyaam kii re,Kangan,1939,"Leela Chitnis, Pradeep, Chorus",Pradeep,Ramchandra Pal,tt0031527
"maran re, tuu hii mero shyaam samaan",Kangan,1939,Kantilal,Pt Narottam Vyas,Ramchandra Pal,tt0031527
piyaa milan ko jaanaa,Kapala Kundala,1939,Pankaj Mullick,Pankaj Mullick,Pankaj Mullick,
maare raam jilaave raam,Kangan,1939,"Pradeep, Chorus",Sant Kabir,Ramchandra Pal,tt0031527
"havaa tum dhiire baho, mere aate ho.nge chitachor",Kangan,1939,Leela Chitnis,Pradeep,Saraswati Devi,tt0031527
jal bharane chalo rii gu_iyaa.N,Kangan,1939,Leela Chitnis,Pt Narottam Vyas,Ramchandra Pal,tt0031527
jogan bhaTak rahii hai ban-ban,Kangan,1939,Leela Chitnis,Pt Narottam Vyas,Saraswati Devi,tt0031527
ham aur tum aur ye Kushii ye qahaqahe ye dillagii,Alibaaba,1940,"Surendra, Wahidanbai",Dr Safdar 'Aah',Anil Biswas,
ye kaun aaj aayaa savere\-savere,Nartaki,1940,Pankaj Mullick,Munshi Aarzoo,Pankaj Mullick,tt0032836
jiivan aashaa ye hai merii,Zindagi,1940,Saigal,Aarzoo Lakhnawi,Pankaj Mullick,tt0156192
terii in aa.Nkho.n ne kiyaa biimaar haay,Alibaaba,1940,"Surendra, Wahidan",Dr Safdar 'Aah',Anil Biswas,
dil chhiin ke jaataa hai o mast nazar waale,Alibaaba,1940,"Surendra, Wahidanbai",Dr Safdar 'Aah',Anil Biswas,
chane zor garam baabuu mai.n laayaa mazedaar,Bandhan,1940,"Arun Kumar/ Arun Kumar, Kids",Pradeep,Saraswati Devi,tt0149784
suno pa.nchhii ke raag,Aurat/ Woman,1940,"Anilda, Jyoti, Sardar Akhtar, Surendra, Harish, Chorus",Dr Safdar 'Aah',Anil Biswas,
mast pawan shaaKe.n laharaaye.n,Haar Jeet/ Abhinetri,1940,"Kanan Devi, Pahadi Sanyal",Arzoo or Kedar Sharma,R C Boral,
"ruk na sako to jaavo, tum jaavo",Bandhan,1940,Arun Kumar,Pradeep,Saraswati Devi,tt0149784
so jaa raajakumaarii so jaa,Zindagi,1940,Saigal,Kedar Sharma,Pankaj Mullick,tt0156192
kaahe karataa der baraatii kaahe karataa der,Aurat/ Woman,1940,"Anil Biswas, Chorus",Dr Safdar 'aah',Anil Biswas,
tum ruuTh ga_ii.n ruuTh ga_ii.n baah rii sajaniyaa,Aurat/ Woman,1940,"Surendra, Jyoti",Dr Safdar 'Aah',Anil Biswas,
o varShaa ke pahale baadal,Meghdoot,1940,Jagmohan 'Sursagar',Faiyyaz Hashmi,Kamal Dasgupta,
kaise rain kaTii morii aalii,Sanskaar/ Chhoti Bahu,1940,"Wahidan Bai, Jyoti",Kanhaiya Lal Chaturvedi,Ashok Ghosh,
chal\-chal re naujawaan,Bandhan,1940,"Suresh/ Leela Chitnis, Ashok Kumar/ Ashok Kumar, Suresh, Chorus/ Ashok Kumar, Chorus",Pradeep,Ramchandra Pal,tt0149784
"kaise chhipoge, ab tum kaise chhipoge",Bandhan,1940,Leela Chitnis,Pradeep,Saraswati Devi,tt0149784
ham to alabele mazaduur gazab hamaarii jaaduugarii,Bandhan,1940,"Pradeep, Chorus",Pradeep,Ramchandra Pal,tt0149784
madabharii rut jawaan hai,Nartaki,1940,Pankaj Mullick,Munshi Aarzoo,Pankaj Mullick,tt0032836
apane bhaiyaa ko naach nachaa_uu.Ngii,Bandhan,1940,"Leela Chitnis, Suresh",Pradeep,Saraswati Devi,tt0149784
diinadayaal sakal dukh bha.njan ... prabhu ke darshan paaye mai.nne,Narasi Bhagat,1940,Amirbai,Sampat Lal Shrivastava 'Anuj'?,Shankarrao Vyas,
"piyu\-piyu bol, piyu\-piyu bol",Bandhan,1940,Pradeep,Pradeep,Saraswati Devi,tt0149784
prem kaa naataa chhuuTaa,Nartaki,1940,Pankaj Mullick,Munshi Aarzoo,Pankaj Mullick,tt0032836
"manabhaavan, manabhaavan lo saawan aayaa re",Bandhan,1940,Leela Chitnis,Pradeep,Saraswati Devi,tt0149784
phaagan kii rut aa_ii re,Holi,1940,"Sitara, Amrit Lal",D N Madhok,Khemchand Prakash,tt0231732
"mujh se pahalii sii mohabbat, mere mahabuub, na maa.Ng",Qaidi,1940,Noorjehan,Faiz Ahmed Faiz,Rashid Attre,tt0230672
panaghaT pai ek chhabiilii paanii bharan ko aa_ii,Main Haari/ Defeat,1940,H Khan Mastana,Kamal Amrohi,Mir Sahab,
merii aa.Nkho.n me.n mere man me.n piyaa chhaaye piyaa jii aan milo,Musaafir,1940,"Khursheed, Chorus",D N Madhok,Gyan Dutt,
ik din jaanaa ik din jaanaa hai,(Non-film),1940s,Dilip Kumar Roy,Meera Bai,Dilip Kumar Roy,
tum kab tak pyaar chhupaaogii,(Non-film),1940s,Hemant Kumar,Faiyaaz Hashmi,Kamal Dasgupta,
so_e hue hai.n chaa.Nd aur taare,(Non-film),1940's,Talat Mahmood,Faiyyaz Hashmi,Kamal Dasgupta,
tum ho diin dayaal,(Non-film),1940s,Asitbaran,Meera Bai,Durga Sen,
diye bujhaa do sajanii,(Non-film),1940s,Hemant,Faiyyaz Hashmi,Kamal Dasgupta,
piine kii ham ko aadat dukh me.n bhalii lagii hai,non-Film,1940s,Talat,Faiyaz Hashmi,Ramzan Khan,
tumhe.n aah banake jalaauu.Ngaa tumhe.n dard banake sataauu.Ngaa,(Non-film),1940s,Talat Mahmood,Faiyyaz Hashmi,Ramzan Khan,
priitam se jaake kah de,Hamari Kahani,1940s Not Released,Lata,Banwasi,Hemant Kedar,tt3483612
dil hai tumhaarii yaad kii duniyaa liye hue,Ghar Ki Laaj,1941,Kalyani,Ehsan Rizvi,Annasaheb Mainkar,
mere jiivan ke path par chhaa_ii ye kaun ... punam kii chaa.Ndanii,Anjaan,1941,"Ashok Kumar, Devika Rani",Pradeep,Pannalal Ghosh,tt18555788
meraa man kho gayaa hai,Naya Sansar,1941,Ashok Kumar,Pradeep,Ramchandra Pal,tt0151727
na jaane aaj kidhar merii naav chalii re,Jhoola,1941,Ashok Kumar,Pradeep,Saraswati Devi,tt0033772
"zi.ndagii hai pyaar se, pyaar me.n bitaaye jaa",Sikandar,1941,"Khan Mastana, ???, ???, chorus",Pt. Sudarshan,Mir Saheb/Rafiq Ghaznavi,tt0243559
jaagaa kiraNo.n waalaa,Chitralekha,1941,"Ramdulari, Rajendra Singh, Siddheshwar Mukherjee",Kidar Sharma,A S Gyaanii,tt0279731
"hamane kisii se sunii kahaanii ... chalii re, chalii re merii naav chalii re",Jhoola,1941,Ashok Kumar,Pradeep,Saraswati Devi,tt0033772
uTh jaag javaani aatii hai,Sikandar,1941,Menaka,Pt Sudarshan,Mir Saheb?/Rafiq Ghaznavi?,tt0243559
aa_ii aa_ii sajanavaa ajab ratiyaa,Sikandar,1941,Sheela,Pt Sudarshan,Mir Saheb?/Rafiq Ghaznavi?,tt0243559
"phulawaaran laage chor, malaniyaa soy rahii",Sikandar,1941,Sheela,Pt Sudarshan,Mir Saheb?/Rafiq Ghaznavi?,tt0243559
"saawan ke din aaye re, ma.ngawaa de chunariyaa",Sikandar,1941,"Sheela, Chorus",Pt Sudarshan,Mir Saheb?/Rafiq Ghaznavi?,tt0243559
khilo\-khilo matawaarii kaliyo,Sikandar,1941,Sheela,Pt Sudarshan,Mir Saheb?/Rafiq Ghaznavi?,tt0243559
jiite desh hamaaraa,Sikandar,1941,"Sheela, Chorus",Pt Sudarshan,Mir Saheb?/Rafiq Ghaznavi?,tt0243559
tum jaavo\-jaavo bhagawaan bane,Chitralekha,1941,Ram Dulari,Kedar Sharma,Jhande Khan,tt0279731
mai.n to dillii se dulahan laayaa re ai baabuu jii,Jhoola,1941,"Arun Kumar, Rehmat Bano",Pradeep,Saraswati Devi,tt0033772
more man kii nagariyaa basaaii re,Kanchan,1941,"Leela Chitnis, Muzumdar",c,Gyan Dutt,
aaj mausam salonaa\-salonaa re,Jhoola,1941,"Ashok Kumar, Arun Kumar, Rahmat Bano",Pradeep,Saraswati Devi,tt0033772
TuuT ga_ii Daalii ... ab kahaa.N baseraa apanaa,Pardesi,1941,Khursheed,D N Madhok,Khemchand Prakash,tt0213979
chale pavan kii chaal,Doctor,1941,Pankaj Mullick,Pradeep,Pankaj Mullick,tt0033861
aaj apanii mehanato.n kaa mujhako samaraa mil gayaa,Doctor,1941,Pankaj Mullick,Munshi Aarzoo,Pankaj Mullick,tt0033861
avadhapurii sab prem hii chhaavaa,Padosi,1941,Master Krishnarao,Pt Sudarshan,Master Krishnarao,tt0331308
mai.n sote bhaag jagaa duu.Ngaa,Lagan,1941,Saigal,Arzoo Lucknavi,R C Boral,tt0280358
mere bas kii baat jo hotii,Himmat,1941,Umrao Zia Begum,Aziz Kashmiri,Gobind Ram,
